animal_id,species,total_distance_km,average_speed_kmh,observations
ELE_001,Elephant,157.69987571775837,0.25626946651457455,9
WOL_003,Wolf,147.3327610333451,0.22300924285012114,9
ELE_010,Elephant,141.40371288587062,0.2362659354530736,8
MON_002,Monkey,140.63822068988395,0.20061829432058376,10
BOA_005,Boar,140.5712561213681,0.27717596734543815,9
ELE_009,Elephant,139.24246845918537,0.25869186254218607,8
ELE_007,Elephant,138.394278281441,0.2738558802730898,8
BOA_006,Boar,136.72450894495057,0.2444483546950231,9
ELE_005,Elephant,134.15173943506412,0.2978100613488864,8
WOL_008,Wolf,130.797426576364,0.22005327410510764,8
ELE_002,Elephant,128.76731549413643,0.20981831933388503,9
MON_008,Monkey,128.3916001426941,0.2838014103304828,9
WOL_007,Wolf,127.8957104219555,0.2088904281691452,8
ELE_003,Elephant,126.38560465128194,0.2136129448326608,9
MON_001,Monkey,122.88591357608277,0.2292089069102772,10
ELE_008,Elephant,112.7359101673216,0.2006507961844935,8
WOL_005,Wolf,108.93164210914945,0.17315793118925227,9
WOL_004,Wolf,98.77564720953322,0.14777738310881428,9
