sample_id,timestamp,species,behavior,latitude,longitude,temperature,weather,vegetation_type,time_of_day,animal_id,previous_latitude,previous_longitude,previous_timestamp,distance_km,time_diff_hours,speed_kmh,speed_risk,distance_risk,anomaly_risk,weather_risk,habitat_risk,behavior_risk,risk_score,risk_level,conservation_priority,risk_reason
S0645,2025-05-23 13:02:00,Boar,Socializing,24.67651,78.68642,22.0,Rainy,Forest,Night,BOA_003,24.62879,78.45818,2025-05-20 14:52:00,23.66836968297734,70.16666666666667,0.3373164325364941,0,0,0,5,3,1,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0275,2025-05-27 01:30:00,Boar,Running,24.61168,78.45423,20.3,Foggy,Desert,Morning,BOA_003,24.67651,78.68642,2025-05-23 13:02:00,24.54897141746408,84.46666666666667,0.2906350207276726,0,0,0,8,1,5,14,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0453,2025-05-30 09:11:00,Boar,Running,24.61799,78.31358,23.1,Foggy,Desert,Afternoon,BOA_003,24.61168,78.45423,2025-05-27 01:30:00,14.23567327482281,79.68333333333334,0.17865308439434607,0,0,0,8,1,5,14,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0743,2025-05-02 11:34:00,Boar,Resting,24.42735,78.4245,23.6,Foggy,Wetland,Afternoon,BOA_004,,,,0.0,,0.0,0,0,0,8,5,0,13,Low,Normal,"Environmental condition, Habitat factor"
S0266,2025-05-04 17:48:00,Boar,Resting,24.44904,78.32849,31.9,Sunny,Desert,Afternoon,BOA_004,24.42735,78.4245,2025-05-02 11:34:00,10.01412821569902,54.233333333333334,0.18464895296310424,0,0,0,0,1,0,1,Low,Normal,Habitat factor
S0210,2025-05-10 00:49:00,Boar,Socializing,24.42449,78.53455,27.6,Rainy,Forest,Afternoon,BOA_004,24.44904,78.32849,2025-05-04 17:48:00,21.038115631521862,127.01666666666667,0.16563271721444847,0,0,0,5,3,1,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0312,2025-05-13 05:19:00,Boar,Playing,24.59882,78.6727,24.1,Rainy,Grassland,Evening,BOA_004,24.42449,78.53455,2025-05-10 00:49:00,23.898190570369856,76.5,0.31239464797869093,0,0,0,5,1,2,8,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0804,2025-05-15 06:47:00,Boar,Resting,24.42192,78.65846,25.0,Rainy,Desert,Morning,BOA_004,24.59882,78.6727,2025-05-13 05:19:00,19.723073886374166,49.46666666666667,0.39871443166524595,0,0,0,5,1,0,6,Low,Normal,"Environmental condition, Habitat factor"
S0579,2025-05-16 18:25:00,Boar,Grazing,24.32098,78.31945,21.6,Windy,Forest,Evening,BOA_004,24.42192,78.65846,2025-05-15 06:47:00,36.12493946716851,35.63333333333333,1.0137962432320442,20,0,0,5,3,1,29,Moderate,Monitor,"High movement speed, Environmental condition, Habitat factor, Active/risk behavior"
S0496,2025-05-20 22:40:00,Boar,Socializing,24.51726,78.64848,23.7,Cloudy,Wetland,Morning,BOA_004,24.32098,78.31945,2025-05-16 18:25:00,39.82640583922696,100.25,0.3972708811892963,0,20,0,2,5,1,28,Moderate,Monitor,"Large movement distance, Environmental condition, Habitat factor, Active/risk behavior"
S0648,2025-05-23 19:47:00,Boar,Alert,24.47098,78.58797,29.5,Sunny,Grassland,Evening,BOA_004,24.51726,78.64848,2025-05-20 22:40:00,7.998246263044811,69.11666666666666,0.11572094906744362,0,0,0,0,1,4,5,Low,Normal,"Habitat factor, Active/risk behavior"
S0237,2025-05-27 07:38:00,Boar,Playing,24.46755,78.61988,26.1,Windy,Savanna,Evening,BOA_004,24.47098,78.58797,2025-05-23 19:47:00,3.251983825277444,83.85,0.03878334913866958,0,0,0,5,2,2,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0115,2025-05-30 18:05:00,Boar,Resting,24.51002,78.31536,25.2,Windy,Grassland,Morning,BOA_004,24.46755,78.61988,2025-05-27 07:38:00,31.174772344942994,82.45,0.37810518307996355,0,0,0,5,1,0,6,Low,Normal,"Environmental condition, Habitat factor"
S0328,2025-05-02 14:49:00,Boar,Hunting,24.68126,78.53179,23.6,Rainy,Grassland,Evening,BOA_005,,,,0.0,,0.0,0,0,0,5,1,5,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0716,2025-05-05 18:08:00,Boar,Socializing,24.66477,78.44885,23.7,Cloudy,Savanna,Morning,BOA_005,24.68126,78.53179,2025-05-02 14:49:00,8.578782431100693,75.31666666666666,0.1139028426346629,0,0,0,2,2,1,5,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0568,2025-05-10 04:40:00,Boar,Playing,24.40748,78.43229,31.1,Cloudy,Wetland,Night,BOA_005,24.66477,78.44885,2025-05-05 18:08:00,28.658340393161353,106.53333333333333,0.2690082014376848,0,0,0,2,5,2,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0633,2025-05-13 08:08:00,Boar,Socializing,24.39673,78.40493,28.7,Windy,Desert,Afternoon,BOA_005,24.40748,78.43229,2025-05-10 04:40:00,3.0173887224033242,75.46666666666667,0.039983066109584686,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0185,2025-05-15 08:16:00,Boar,Socializing,24.60025,78.59451,28.8,Foggy,Grassland,Night,BOA_005,24.39673,78.40493,2025-05-13 08:08:00,29.666528818061774,48.13333333333333,0.6163406264140258,0,0,0,8,1,1,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0264,2025-05-16 21:11:00,Boar,Grazing,24.60411,78.47249,34.0,Foggy,Desert,Morning,BOA_005,24.60025,78.59451,2025-05-15 08:16:00,12.343769165743451,36.916666666666664,0.3343684649862786,0,0,0,8,1,1,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0047,2025-05-22 02:08:00,Boar,Grazing,24.54631,78.45133,30.8,Rainy,Forest,Afternoon,BOA_005,24.60411,78.47249,2025-05-16 21:11:00,6.7739000555193565,124.95,0.05421288559839421,0,0,0,5,3,1,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0257,2025-05-23 19:48:00,Boar,Grazing,24.40169,78.48695,27.2,Sunny,Savanna,Evening,BOA_005,24.54631,78.45133,2025-05-22 02:08:00,16.480111802007837,41.666666666666664,0.3955226832481881,0,0,0,0,2,1,3,Low,Normal,"Habitat factor, Active/risk behavior"
S0917,2025-05-27 12:45:00,Boar,Alert,24.66879,78.67099,22.6,Rainy,Savanna,Morning,BOA_005,24.40169,78.48695,2025-05-23 19:48:00,35.05243473337031,88.95,0.3940689683346859,0,0,0,5,2,4,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0173,2025-05-03 08:23:00,Boar,Hunting,24.33453,78.3431,27.6,Windy,Forest,Night,BOA_006,,,,0.0,,0.0,0,0,0,5,3,5,13,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0982,2025-05-06 08:46:00,Boar,Hunting,24.50528,78.4769,34.3,Cloudy,Wetland,Evening,BOA_006,24.33453,78.3431,2025-05-03 08:23:00,23.323956043686245,72.38333333333334,0.32222826677899485,0,0,0,2,5,5,12,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0566,2025-05-10 20:40:00,Boar,Hunting,24.63323,78.3722,21.2,Sunny,Savanna,Afternoon,BOA_006,24.50528,78.4769,2025-05-06 08:46:00,17.734848133270184,107.9,0.16436374544272644,0,0,0,0,2,5,7,Low,Normal,"Habitat factor, Active/risk behavior"
S0932,2025-05-13 09:23:00,Boar,Running,24.46209,78.34917,21.7,Windy,Grassland,Evening,BOA_006,24.63323,78.3722,2025-05-10 20:40:00,19.17193275412277,60.71666666666667,0.3157606272982065,0,0,0,5,1,5,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0098,2025-05-15 12:57:00,Boar,Hunting,24.56986,78.36967,23.4,Rainy,Savanna,Evening,BOA_006,24.46209,78.34917,2025-05-13 09:23:00,12.16162641091501,51.56666666666667,0.23584278754198468,0,0,0,5,2,5,12,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0787,2025-05-17 01:31:00,Boar,Grazing,24.64499,78.51574,32.6,Cloudy,Savanna,Evening,BOA_006,24.56986,78.36967,2025-05-15 12:57:00,16.966420772710837,36.56666666666667,0.4639859828453282,0,0,0,2,2,1,5,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0923,2025-05-22 05:31:00,Boar,Hunting,24.42336,78.34363,29.6,Foggy,Savanna,Night,BOA_006,24.64499,78.51574,2025-05-17 01:31:00,30.173441591417024,124.0,0.24333420638239536,0,0,0,8,2,5,15,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0218,2025-05-23 23:30:00,Boar,Running,24.40014,78.34745,18.2,Foggy,Wetland,Evening,BOA_006,24.42336,78.34363,2025-05-22 05:31:00,2.6107571358579715,41.983333333333334,0.06218556099701401,0,0,0,8,5,5,18,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0314,2025-05-28 02:06:00,Boar,Resting,24.38859,78.49088,23.7,Foggy,Wetland,Evening,BOA_006,24.40014,78.34745,2025-05-23 23:30:00,14.581526102970537,98.6,0.14788566027353486,0,0,0,8,5,0,13,Low,Normal,"Environmental condition, Habitat factor"
S0310,2025-05-03 15:04:00,Boar,Running,24.31628,78.63525,29.3,Sunny,Grassland,Afternoon,BOA_007,,,,0.0,,0.0,0,0,0,0,1,5,6,Low,Normal,"Habitat factor, Active/risk behavior"
S0928,2025-05-07 14:38:00,Boar,Running,24.55623,78.38704,24.3,Sunny,Desert,Evening,BOA_007,24.31628,78.63525,2025-05-03 15:04:00,36.65065734317183,95.56666666666666,0.38350879675450117,0,0,0,0,1,5,6,Low,Normal,"Habitat factor, Active/risk behavior"
S0445,2025-05-11 11:23:00,Boar,Running,24.3801,78.50301,23.9,Rainy,Wetland,Morning,BOA_007,24.55623,78.38704,2025-05-07 14:38:00,22.832518809205478,92.75,0.2461727095332127,0,0,0,5,5,5,15,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0895,2025-05-13 22:47:00,Boar,Grazing,24.61773,78.54205,24.3,Rainy,Grassland,Night,BOA_007,24.3801,78.50301,2025-05-11 11:23:00,26.71689307224674,59.4,0.44977934465061853,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0758,2025-05-15 18:19:00,Boar,Socializing,24.43472,78.54492,19.3,Rainy,Grassland,Evening,BOA_007,24.61773,78.54205,2025-05-13 22:47:00,20.351854552300917,43.53333333333333,0.46750048741885725,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0800,2025-05-17 13:36:00,Boar,Socializing,24.41713,78.37127,34.8,Foggy,Wetland,Afternoon,BOA_007,24.43472,78.54492,2025-05-15 18:19:00,17.68924417184887,43.28333333333333,0.4086848865271206,0,0,0,8,5,1,14,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0082,2025-05-22 05:43:00,Boar,Alert,24.31209,78.47683,20.4,Foggy,Savanna,Afternoon,BOA_007,24.41713,78.37127,2025-05-17 13:36:00,15.834988941768758,112.11666666666666,0.14123670826611054,0,0,0,8,2,4,14,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0022,2025-05-24 04:21:00,Boar,Socializing,24.62701,78.69282,19.5,Windy,Desert,Morning,BOA_007,24.31209,78.47683,2025-05-22 05:43:00,41.28044998788481,46.63333333333333,0.8852133664306964,20,20,0,5,1,1,47,Moderate,Monitor,"High movement speed, Large movement distance, Environmental condition, Habitat factor, Active/risk behavior"
S0339,2025-05-28 03:57:00,Boar,Alert,24.62915,78.57175,24.1,Cloudy,Savanna,Evening,BOA_007,24.62701,78.69282,2025-05-24 04:21:00,12.240037590455364,95.6,0.12803386600894734,0,0,0,2,2,4,8,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0981,2025-05-03 15:25:00,Boar,Playing,24.66833,78.31561,30.6,Cloudy,Forest,Night,BOA_008,,,,0.0,,0.0,0,0,0,2,3,2,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0434,2025-05-07 20:00:00,Boar,Running,24.39885,78.67748,33.3,Foggy,Wetland,Afternoon,BOA_008,24.66833,78.31561,2025-05-03 15:25:00,47.305763445646605,100.58333333333333,0.4703141353336862,0,20,0,8,5,5,38,Moderate,Monitor,"Large movement distance, Environmental condition, Habitat factor, Active/risk behavior"
S0533,2025-05-11 20:27:00,Boar,Socializing,24.448,78.40944,27.6,Windy,Grassland,Afternoon,BOA_008,24.39885,78.67748,2025-05-07 20:00:00,27.682451532057627,96.45,0.2870134943707374,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0128,2025-05-14 01:33:00,Boar,Grazing,24.60585,78.64781,21.6,Sunny,Grassland,Night,BOA_008,24.448,78.40944,2025-05-11 20:27:00,29.825383868956695,53.1,0.5616833120330827,0,0,0,0,1,1,2,Low,Normal,"Habitat factor, Active/risk behavior"
S0475,2025-05-15 19:37:00,Boar,Hunting,24.65121,78.68506,32.3,Rainy,Wetland,Morning,BOA_008,24.60585,78.64781,2025-05-14 01:33:00,6.2941813887096645,42.06666666666667,0.14962396328152924,0,0,0,5,5,5,15,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0324,2025-05-18 14:13:00,Boar,Socializing,24.35848,78.42648,22.2,Cloudy,Savanna,Evening,BOA_008,24.65121,78.68506,2025-05-15 19:37:00,41.76127085893844,66.6,0.6270461089930697,0,20,0,2,2,1,25,Moderate,Monitor,"Large movement distance, Environmental condition, Habitat factor, Active/risk behavior"
S0790,2025-05-22 10:49:00,Boar,Playing,24.58011,78.59352,32.7,Windy,Forest,Afternoon,BOA_008,24.35848,78.42648,2025-05-18 14:13:00,29.885395676653182,92.6,0.32273645439150306,0,0,0,5,3,2,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0611,2025-05-24 05:01:00,Boar,Socializing,24.34947,78.39703,21.4,Sunny,Desert,Evening,BOA_008,24.58011,78.59352,2025-05-22 10:49:00,32.45319885983648,42.2,0.7690331483373574,0,0,0,0,1,1,2,Low,Normal,"Habitat factor, Active/risk behavior"
S0502,2025-05-28 07:09:00,Boar,Grazing,24.62791,78.41555,26.4,Cloudy,Savanna,Afternoon,BOA_008,24.34947,78.39703,2025-05-24 05:01:00,31.0177824253639,98.13333333333334,0.31607794591063754,0,0,0,2,2,1,5,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0875,2025-05-03 20:21:00,Boar,Socializing,24.67325,78.3743,19.0,Windy,Grassland,Night,BOA_009,,,,0.0,,0.0,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0816,2025-05-07 21:50:00,Boar,Socializing,24.3641,78.61823,24.6,Windy,Grassland,Morning,BOA_009,24.67325,78.3743,2025-05-03 20:21:00,42.3166692242136,97.48333333333333,0.43409132389345456,0,20,0,5,1,1,27,Moderate,Monitor,"Large movement distance, Environmental condition, Habitat factor, Active/risk behavior"
S0417,2025-05-11 23:16:00,Boar,Hunting,24.45838,78.36182,29.2,Rainy,Grassland,Night,BOA_009,24.3641,78.61823,2025-05-07 21:50:00,27.999303928849272,97.43333333333334,0.28736883950238734,0,0,0,5,1,5,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0200,2025-05-14 02:01:00,Boar,Resting,24.61298,78.69438,30.3,Foggy,Savanna,Afternoon,BOA_009,24.45838,78.36182,2025-05-11 23:16:00,37.777794896915196,50.75,0.7443900472298561,0,0,0,8,2,0,10,Low,Normal,"Environmental condition, Habitat factor"
S0305,2025-05-15 23:26:00,Boar,Playing,24.62986,78.6273,28.5,Foggy,Desert,Morning,BOA_009,24.61298,78.69438,2025-05-14 02:01:00,7.03577549666984,45.416666666666664,0.15491615772484052,0,0,0,8,1,2,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0168,2025-05-19 02:25:00,Boar,Hunting,24.36061,78.63219,21.7,Cloudy,Grassland,Morning,BOA_009,24.62986,78.6273,2025-05-15 23:26:00,29.943322506248713,74.98333333333333,0.3993330407590404,0,0,0,2,1,5,8,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0381,2025-05-22 11:29:00,Boar,Socializing,24.4764,78.44505,23.2,Windy,Forest,Morning,BOA_009,24.36061,78.63219,2025-05-19 02:25:00,22.90820255455185,81.06666666666666,0.28258473545911,0,0,0,5,3,1,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0696,2025-05-24 16:12:00,Boar,Socializing,24.65352,78.34289,21.4,Rainy,Forest,Evening,BOA_009,24.4764,78.44505,2025-05-22 11:29:00,22.240211468744945,52.71666666666667,0.4218819753792908,0,0,0,5,3,1,9,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0631,2025-05-29 00:41:00,Boar,Playing,24.69201,78.32844,26.0,Rainy,Forest,Night,BOA_009,24.65352,78.34289,2025-05-24 16:12:00,4.522091799165679,104.48333333333333,0.043280508526071265,0,0,0,5,3,2,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0955,2025-05-03 20:30:00,Boar,Resting,24.34649,78.67159,21.9,Windy,Forest,Evening,BOA_010,,,,0.0,,0.0,0,0,0,5,3,0,8,Low,Normal,"Environmental condition, Habitat factor"
S0051,2025-05-08 01:29:00,Boar,Alert,24.6248,78.6909,25.9,Cloudy,Wetland,Night,BOA_010,24.34649,78.67159,2025-05-03 20:30:00,31.008291436031634,100.98333333333333,0.3070634570328269,0,0,0,2,5,4,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0883,2025-05-12 08:24:00,Boar,Grazing,24.44895,78.44886,24.5,Sunny,Grassland,Afternoon,BOA_010,24.6248,78.6909,2025-05-08 01:29:00,31.333189314460473,102.91666666666667,0.30445204192188313,0,0,0,0,1,1,2,Low,Normal,"Habitat factor, Active/risk behavior"
S0677,2025-05-14 10:14:00,Boar,Running,24.5492,78.63995,20.9,Rainy,Savanna,Night,BOA_010,24.44895,78.44886,2025-05-12 08:24:00,22.318433726518624,49.833333333333336,0.4478615463515443,0,0,0,5,2,5,12,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0975,2025-05-15 23:34:00,Boar,Resting,24.35529,78.61647,24.4,Foggy,Forest,Afternoon,BOA_010,24.5492,78.63995,2025-05-14 10:14:00,21.692398994463943,37.333333333333336,0.581046401637427,0,0,0,8,3,0,11,Low,Normal,"Environmental condition, Habitat factor"
S0581,2025-05-19 19:10:00,Boar,Grazing,24.35294,78.69925,32.1,Rainy,Desert,Night,BOA_010,24.35529,78.61647,2025-05-15 23:34:00,8.389697271131261,91.6,0.09159058156256836,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0093,2025-05-22 13:09:00,Boar,Hunting,24.64863,78.55934,19.7,Cloudy,Wetland,Evening,BOA_010,24.35294,78.69925,2025-05-19 19:10:00,35.79731222223092,65.98333333333333,0.5425205186496225,0,0,0,2,5,5,12,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0903,2025-05-24 19:47:00,Boar,Running,24.48587,78.42804,33.8,Cloudy,Desert,Morning,BOA_010,24.64863,78.55934,2025-05-22 13:09:00,22.446641450416415,54.63333333333333,0.4108598191046324,0,0,0,2,1,5,8,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
