sample_id,timestamp,species,behavior,latitude,longitude,temperature,weather,vegetation_type,time_of_day
S0018,2025-05-25 21:44:00,Wolf,Resting,24.51396,78.45407,34.6,Windy,Wetland,Evening
S0019,2025-05-25 04:18:00,Leopard,Alert,24.34238,78.55583,29.5,Sunny,Savanna,Evening
S0020,2025-05-06 07:34:00,Monkey,Hunting,24.69335,78.36108,29.6,Cloudy,Forest,Night
S0021,2025-05-27 14:26:00,Elephant,Resting,24.59162,78.57892,22.1,Rainy,Desert,Afternoon
S0022,2025-05-24 04:21:00,Boar,Socializing,24.62701,78.69282,19.5,Windy,Desert,Morning
S0023,2025-05-30 06:02:00,Boar,Hunting,24.55405,78.3993,27.3,Sunny,Grassland,Afternoon
S0024,2025-05-05 06:58:00,Fox,Socializing,24.53222,78.56565,30.1,Cloudy,Desert,Evening
S0025,2025-05-26 19:39:00,Peacock,Hunting,24.45445,78.35674,30.2,Rainy,Grassland,Morning
S0026,2025-05-08 00:50:00,Fox,Playing,24.36179,78.55946,20.4,Foggy,Forest,Evening
S0027,2025-05-22 17:36:00,Leopard,Alert,24.65748,78.34614,20.7,Sunny,Desert,Evening
S0028,2025-05-25 10:02:00,Deer,Playing,24.39537,78.31389,34.2,Cloudy,Grassland,Night
S0029,2025-05-20 10:44:00,Leopard,Resting,24.61044,78.69875,24.2,Rainy,Grassland,Evening
S0030,2025-05-03 04:05:00,Fox,Running,24.38252,78.38966,22.7,Windy,Wetland,Night
S0031,2025-05-05 21:37:00,Peacock,Hunting,24.69148,78.35495,34.6,Cloudy,Savanna,Night
S0032,2025-05-14 13:41:00,Monkey,Socializing,24.37612,78.64148,31.1,Rainy,Grassland,Afternoon
S0033,2025-05-11 07:30:00,Peacock,Hunting,24.53719,78.69222,24.4,Windy,Savanna,Evening
S0034,2025-05-13 19:31:00,Wolf,Playing,24.31491,78.46193,24.5,Foggy,Forest,Night
S0035,2025-05-10 01:19:00,Peacock,Running,24.47112,78.56883,27.6,Cloudy,Grassland,Night
S0036,2025-05-19 14:44:00,Wolf,Running,24.37109,78.48108,26.1,Rainy,Forest,Morning
S0037,2025-05-18 07:32:00,Rabbit,Alert,24.31833,78.50421,30.9,Windy,Grassland,Afternoon
S0038,2025-05-19 09:13:00,Deer,Hunting,24.58619,78.69335,18.5,Sunny,Savanna,Afternoon
S0039,2025-05-08 06:03:00,Fox,Socializing,24.41197,78.64893,25.0,Cloudy,Wetland,Afternoon
S0040,2025-05-17 21:55:00,Wolf,Running,24.36879,78.67511,28.4,Sunny,Savanna,Afternoon
S0041,2025-05-09 19:22:00,Fox,Playing,24.39407,78.34677,30.8,Foggy,Wetland,Morning
S0042,2025-05-21 22:03:00,Elephant,Grazing,24.37454,78.60881,26.9,Sunny,Savanna,Afternoon
S0043,2025-05-06 05:03:00,Peacock,Playing,24.51467,78.565,24.3,Foggy,Wetland,Morning
S0044,2025-05-29 08:57:00,Boar,Resting,24.35831,78.50796,34.6,Sunny,Forest,Evening
S0045,2025-05-17 11:56:00,Rabbit,Resting,24.34084,78.66094,30.6,Rainy,Wetland,Afternoon
S0046,2025-05-01 18:51:00,Fox,Resting,24.63645,78.54978,19.9,Cloudy,Wetland,Afternoon
S0047,2025-05-22 02:08:00,Boar,Grazing,24.54631,78.45133,30.8,Rainy,Forest,Afternoon
S0048,2025-05-11 12:37:00,Elephant,Hunting,24.62234,78.36517,33.7,Sunny,Grassland,Morning
S0049,2025-05-08 11:48:00,Leopard,Alert,24.42716,78.6345,33.2,Cloudy,Grassland,Morning
S0050,2025-05-14 20:26:00,Boar,Playing,24.64367,78.59284,19.7,Foggy,Grassland,Morning
S0051,2025-05-08 01:29:00,Boar,Alert,24.6248,78.6909,25.9,Cloudy,Wetland,Night
S0052,2025-05-28 02:34:00,Leopard,Socializing,24.4053,78.51233,33.0,Cloudy,Forest,Morning
S0053,2025-05-09 12:08:00,Peacock,Socializing,24.4158,78.56894,21.5,Windy,Wetland,Evening
S0054,2025-05-15 22:42:00,Monkey,Resting,24.63744,78.41376,19.3,Sunny,Forest,Afternoon
S0055,2025-05-17 00:19:00,Wolf,Playing,24.38081,78.35939,30.1,Rainy,Forest,Afternoon
S0056,2025-05-03 17:31:00,Deer,Alert,24.64859,78.33068,30.7,Windy,Wetland,Night
S0057,2025-05-16 20:17:00,Peacock,Playing,24.68794,78.30306,22.6,Rainy,Desert,Evening
S0058,2025-05-28 20:43:00,Monkey,Grazing,24.62666,78.68365,21.5,Sunny,Wetland,Afternoon
S0059,2025-05-21 18:50:00,Deer,Hunting,24.67319,78.3438,29.3,Sunny,Savanna,Afternoon
S0060,2025-05-22 00:02:00,Elephant,Playing,24.54652,78.32237,32.4,Foggy,Forest,Night
S0061,2025-05-09 06:20:00,Leopard,Hunting,24.50545,78.69767,27.7,Cloudy,Desert,Morning
S0062,2025-05-10 18:10:00,Monkey,Playing,24.67406,78.33427,31.8,Foggy,Grassland,Evening
S0063,2025-05-22 19:23:00,Boar,Alert,24.30478,78.53225,22.6,Windy,Grassland,Evening
S0064,2025-05-26 00:14:00,Wolf,Running,24.59779,78.61654,20.3,Cloudy,Forest,Afternoon
S0065,2025-05-03 00:37:00,Elephant,Socializing,24.35564,78.42689,20.0,Cloudy,Grassland,Evening
S0066,2025-05-20 21:10:00,Elephant,Grazing,24.48108,78.64976,32.5,Sunny,Desert,Morning
S0067,2025-05-30 07:47:00,Peacock,Hunting,24.4048,78.67859,23.1,Sunny,Savanna,Evening
S0068,2025-05-14 14:18:00,Monkey,Grazing,24.47072,78.43227,25.4,Windy,Grassland,Afternoon
S0069,2025-05-03 23:45:00,Monkey,Resting,24.34329,78.43374,23.4,Sunny,Forest,Morning
S0070,2025-05-22 21:55:00,Peacock,Playing,24.53171,78.40873,34.2,Foggy,Wetland,Morning
S0071,2025-05-17 07:37:00,Monkey,Hunting,24.60983,78.30197,23.2,Sunny,Grassland,Morning
S0072,2025-05-26 19:04:00,Tiger,Playing,24.49424,78.41485,27.1,Cloudy,Grassland,Evening
S0073,2025-05-25 18:55:00,Fox,Resting,24.34125,78.63397,25.0,Rainy,Desert,Evening
S0074,2025-05-18 21:26:00,Rabbit,Resting,24.33486,78.63607,20.9,Windy,Wetland,Afternoon
S0075,2025-05-08 18:10:00,Peacock,Alert,24.40545,78.50248,19.0,Cloudy,Grassland,Morning
S0076,2025-05-06 17:36:00,Peacock,Hunting,24.56098,78.3027,21.8,Rainy,Forest,Morning
S0077,2025-05-26 00:37:00,Monkey,Grazing,24.68086,78.40254,28.7,Foggy,Savanna,Night
S0078,2025-05-01 12:29:00,Leopard,Resting,24.49444,78.57188,27.9,Foggy,Savanna,Afternoon
S0079,2025-05-04 10:31:00,Monkey,Resting,24.52605,78.60139,21.1,Cloudy,Desert,Afternoon
S0080,2025-05-01 11:00:00,Wolf,Playing,24.53775,78.57693,19.0,Cloudy,Grassland,Night
S0081,2025-05-14 01:24:00,Tiger,Socializing,24.4159,78.61282,21.4,Rainy,Desert,Afternoon
S0082,2025-05-22 05:43:00,Boar,Alert,24.31209,78.47683,20.4,Foggy,Savanna,Afternoon
S0083,2025-05-04 14:48:00,Leopard,Resting,24.55027,78.62381,34.6,Rainy,Grassland,Afternoon
S0084,2025-05-28 12:59:00,Monkey,Alert,24.61249,78.53363,21.0,Cloudy,Desert,Night
S0085,2025-05-06 00:09:00,Deer,Grazing,24.46883,78.69175,30.9,Sunny,Grassland,Night
S0086,2025-05-01 06:26:00,Peacock,Playing,24.44835,78.46801,29.5,Sunny,Forest,Morning
S0087,2025-05-09 05:04:00,Fox,Alert,24.34073,78.37732,33.8,Foggy,Grassland,Afternoon
S0088,2025-05-27 21:38:00,Monkey,Alert,24.48622,78.65511,20.5,Cloudy,Savanna,Night
S0089,2025-05-12 02:56:00,Rabbit,Playing,24.53624,78.4819,34.5,Rainy,Wetland,Afternoon
S0090,2025-05-06 19:32:00,Elephant,Hunting,24.65484,78.3363,33.6,Cloudy,Savanna,Morning
S0091,2025-05-24 13:36:00,Tiger,Socializing,24.45377,78.56322,30.4,Sunny,Savanna,Morning
S0092,2025-05-27 12:04:00,Fox,Running,24.51701,78.33761,31.5,Rainy,Desert,Night
S0093,2025-05-22 13:09:00,Boar,Hunting,24.64863,78.55934,19.7,Cloudy,Wetland,Evening
S0094,2025-05-25 16:15:00,Peacock,Hunting,24.59284,78.59915,19.5,Windy,Desert,Afternoon
S0095,2025-05-28 11:10:00,Peacock,Resting,24.63114,78.64416,23.3,Rainy,Savanna,Afternoon
S0096,2025-05-08 15:27:00,Tiger,Playing,24.45701,78.66426,28.2,Cloudy,Savanna,Evening
S0097,2025-05-28 14:42:00,Fox,Grazing,24.52016,78.4731,26.1,Foggy,Grassland,Evening
S0098,2025-05-15 12:57:00,Boar,Hunting,24.56986,78.36967,23.4,Rainy,Savanna,Evening
S0099,2025-05-09 00:36:00,Rabbit,Playing,24.4564,78.69343,23.2,Rainy,Savanna,Afternoon
S0100,2025-05-13 07:20:00,Wolf,Hunting,24.61366,78.69712,23.2,Sunny,Savanna,Night
S0101,2025-05-06 14:14:00,Monkey,Alert,24.34921,78.43294,28.0,Rainy,Wetland,Evening
S0102,2025-05-17 14:53:00,Rabbit,Grazing,24.40606,78.67249,25.6,Cloudy,Forest,Night
S0103,2025-05-19 09:44:00,Peacock,Playing,24.31269,78.50112,22.1,Cloudy,Grassland,Morning
S0104,2025-05-16 23:07:00,Wolf,Socializing,24.43845,78.50643,18.6,Rainy,Desert,Afternoon
S0105,2025-05-10 12:22:00,Rabbit,Alert,24.41505,78.68914,24.6,Foggy,Wetland,Night
S0106,2025-05-25 06:03:00,Peacock,Playing,24.38736,78.44501,27.4,Rainy,Grassland,Evening
S0107,2025-05-25 11:06:00,Deer,Resting,24.34546,78.66622,21.1,Sunny,Desert,Evening
S0108,2025-05-15 01:07:00,Deer,Running,24.67999,78.60659,25.3,Foggy,Forest,Afternoon
S0109,2025-05-28 19:23:00,Tiger,Hunting,24.40148,78.43216,33.6,Rainy,Desert,Afternoon
S0110,2025-05-27 10:03:00,Tiger,Playing,24.57398,78.46828,21.1,Sunny,Savanna,Evening
S0111,2025-05-29 23:45:00,Peacock,Playing,24.63927,78.54521,29.2,Sunny,Savanna,Evening
S0112,2025-05-14 15:13:00,Rabbit,Running,24.33713,78.36484,27.7,Rainy,Grassland,Afternoon
S0113,2025-05-19 08:11:00,Leopard,Socializing,24.64971,78.62009,31.6,Cloudy,Savanna,Evening
S0114,2025-05-02 10:12:00,Monkey,Alert,24.68744,78.56058,20.2,Sunny,Desert,Afternoon
S0115,2025-05-30 18:05:00,Boar,Resting,24.51002,78.31536,25.2,Windy,Grassland,Morning
S0116,2025-05-27 16:10:00,Leopard,Grazing,24.69755,78.48976,30.3,Foggy,Grassland,Morning
S0117,2025-05-02 13:28:00,Elephant,Alert,24.4191,78.30262,26.2,Rainy,Forest,Night
S0118,2025-05-19 16:38:00,Deer,Resting,24.59632,78.52936,31.2,Foggy,Grassland,Night
S0119,2025-05-16 15:22:00,Wolf,Playing,24.66122,78.65861,24.9,Sunny,Grassland,Morning
S0120,2025-05-12 04:09:00,Rabbit,Hunting,24.57882,78.37466,21.0,Cloudy,Desert,Morning
S0121,2025-05-18 09:52:00,Tiger,Socializing,24.38321,78.31991,30.0,Rainy,Savanna,Evening
S0122,2025-05-16 10:27:00,Peacock,Socializing,24.56162,78.37358,26.5,Windy,Wetland,Afternoon
S0123,2025-05-20 14:52:00,Boar,Playing,24.62879,78.45818,31.7,Rainy,Forest,Night
S0124,2025-05-15 21:08:00,Peacock,Grazing,24.43665,78.35909,24.8,Rainy,Grassland,Morning
S0125,2025-05-12 20:10:00,Leopard,Resting,24.63731,78.37435,31.2,Cloudy,Forest,Night
S0126,2025-05-20 10:26:00,Deer,Hunting,24.61889,78.42707,26.7,Rainy,Desert,Evening
S0127,2025-05-15 08:33:00,Deer,Hunting,24.44703,78.63213,26.9,Cloudy,Grassland,Night
S0128,2025-05-14 01:33:00,Boar,Grazing,24.60585,78.64781,21.6,Sunny,Grassland,Night
S0129,2025-05-04 12:40:00,Fox,Alert,24.66066,78.5449,33.0,Foggy,Savanna,Evening
S0130,2025-05-11 23:41:00,Tiger,Hunting,24.53244,78.30551,31.9,Windy,Wetland,Morning
S0131,2025-05-12 04:02:00,Rabbit,Running,24.46577,78.63237,19.1,Windy,Savanna,Morning
S0132,2025-05-05 06:22:00,Tiger,Alert,24.38625,78.40005,30.3,Sunny,Forest,Morning
S0133,2025-05-15 05:32:00,Deer,Hunting,24.66452,78.64423,21.5,Cloudy,Forest,Evening
S0134,2025-05-22 14:28:00,Deer,Resting,24.54697,78.66683,28.4,Rainy,Desert,Night
S0135,2025-05-25 02:43:00,Elephant,Playing,24.44759,78.39947,29.6,Rainy,Forest,Evening
S0136,2025-05-22 09:46:00,Peacock,Grazing,24.42326,78.46381,28.6,Windy,Forest,Afternoon
S0137,2025-05-19 23:57:00,Rabbit,Resting,24.61987,78.60752,33.8,Cloudy,Savanna,Morning
S0138,2025-05-15 22:27:00,Rabbit,Grazing,24.34726,78.43742,22.3,Windy,Savanna,Evening
S0139,2025-05-02 08:16:00,Fox,Running,24.51274,78.6431,20.8,Rainy,Desert,Afternoon
S0140,2025-05-02 01:52:00,Peacock,Hunting,24.30174,78.32874,25.0,Windy,Savanna,Morning
S0141,2025-05-08 18:55:00,Leopard,Hunting,24.49619,78.52229,33.9,Windy,Grassland,Morning
S0142,2025-05-27 19:05:00,Rabbit,Running,24.37396,78.49394,22.1,Rainy,Savanna,Evening
S0143,2025-05-02 00:10:00,Fox,Resting,24.38084,78.59947,28.3,Windy,Grassland,Evening
S0144,2025-05-11 13:53:00,Deer,Socializing,24.50796,78.32036,28.2,Windy,Wetland,Night
S0145,2025-05-26 21:52:00,Fox,Resting,24.6273,78.39695,23.6,Foggy,Savanna,Night
S0146,2025-05-13 15:03:00,Monkey,Resting,24.42384,78.43003,31.2,Windy,Desert,Morning
S0147,2025-05-07 07:43:00,Leopard,Running,24.44857,78.61277,32.8,Windy,Wetland,Morning
S0148,2025-05-09 11:26:00,Peacock,Playing,24.40872,78.66403,34.6,Sunny,Grassland,Morning
S0149,2025-05-17 17:13:00,Elephant,Grazing,24.38182,78.55895,19.6,Cloudy,Grassland,Afternoon
S0150,2025-05-15 01:45:00,Elephant,Alert,24.58393,78.39565,33.5,Foggy,Savanna,Morning
S0151,2025-05-17 14:47:00,Rabbit,Socializing,24.39112,78.58683,34.4,Foggy,Desert,Afternoon
S0152,2025-05-17 21:16:00,Leopard,Alert,24.48316,78.50006,28.3,Windy,Grassland,Night
S0153,2025-05-26 22:28:00,Leopard,Hunting,24.68071,78.36317,19.4,Rainy,Grassland,Morning
S0154,2025-05-09 12:15:00,Leopard,Resting,24.32333,78.55719,18.5,Rainy,Grassland,Afternoon
S0155,2025-05-20 16:36:00,Tiger,Running,24.54666,78.31678,20.3,Windy,Forest,Morning
S0156,2025-05-24 04:01:00,Leopard,Playing,24.53218,78.6987,18.8,Foggy,Grassland,Afternoon
S0157,2025-05-30 12:03:00,Wolf,Resting,24.57996,78.6476,18.9,Cloudy,Savanna,Evening
S0158,2025-05-09 22:43:00,Boar,Grazing,24.47337,78.68553,26.1,Foggy,Wetland,Evening
S0159,2025-05-09 02:38:00,Leopard,Running,24.45207,78.53855,26.4,Windy,Wetland,Night
S0160,2025-05-04 02:50:00,Rabbit,Hunting,24.34884,78.68827,30.6,Windy,Grassland,Afternoon
S0161,2025-05-20 01:44:00,Leopard,Running,24.46613,78.37998,19.9,Sunny,Desert,Morning
S0162,2025-05-07 02:14:00,Tiger,Grazing,24.53675,78.49935,23.3,Windy,Desert,Night
S0163,2025-05-05 09:34:00,Deer,Resting,24.68021,78.474,20.2,Windy,Grassland,Afternoon
S0164,2025-05-28 19:49:00,Monkey,Grazing,24.66526,78.52559,20.6,Sunny,Grassland,Morning
S0165,2025-05-22 00:00:00,Leopard,Grazing,24.5477,78.67495,28.3,Rainy,Grassland,Evening
S0166,2025-05-28 17:52:00,Leopard,Running,24.60628,78.32045,28.6,Foggy,Grassland,Afternoon
S0167,2025-05-02 23:40:00,Rabbit,Running,24.40883,78.52934,31.7,Cloudy,Wetland,Night
S0168,2025-05-19 02:25:00,Boar,Hunting,24.36061,78.63219,21.7,Cloudy,Grassland,Morning
S0169,2025-05-05 00:55:00,Peacock,Socializing,24.6147,78.39519,31.4,Sunny,Desert,Afternoon
S0170,2025-05-09 04:59:00,Wolf,Resting,24.40743,78.35403,19.8,Sunny,Desert,Morning
S0171,2025-05-10 05:47:00,Monkey,Socializing,24.34908,78.33185,27.1,Foggy,Desert,Morning
S0172,2025-05-10 22:40:00,Wolf,Alert,24.3537,78.30078,22.9,Cloudy,Wetland,Afternoon
S0173,2025-05-03 08:23:00,Boar,Hunting,24.33453,78.3431,27.6,Windy,Forest,Night
S0174,2025-05-27 11:19:00,Deer,Alert,24.488,78.37559,32.1,Cloudy,Forest,Night
S0175,2025-05-08 22:45:00,Wolf,Resting,24.45524,78.43572,27.8,Sunny,Forest,Evening
S0176,2025-05-26 06:08:00,Peacock,Hunting,24.3841,78.52723,28.8,Cloudy,Forest,Afternoon
S0177,2025-05-26 11:28:00,Peacock,Hunting,24.38538,78.56061,18.8,Rainy,Wetland,Evening
S0178,2025-05-17 01:12:00,Rabbit,Playing,24.47433,78.64383,27.1,Sunny,Desert,Night
S0179,2025-05-26 01:03:00,Rabbit,Grazing,24.39387,78.65893,28.2,Foggy,Desert,Morning
S0180,2025-05-08 06:04:00,Peacock,Hunting,24.46478,78.49965,22.6,Windy,Forest,Afternoon
S0181,2025-05-18 20:58:00,Deer,Playing,24.48804,78.48638,22.2,Cloudy,Grassland,Afternoon
S0182,2025-05-06 12:29:00,Wolf,Running,24.65598,78.54385,19.5,Foggy,Savanna,Night
S0183,2025-05-17 08:20:00,Monkey,Running,24.59229,78.68994,21.5,Rainy,Desert,Afternoon
S0184,2025-05-13 23:27:00,Rabbit,Alert,24.68442,78.44705,28.2,Windy,Forest,Night
S0185,2025-05-15 08:16:00,Boar,Socializing,24.60025,78.59451,28.8,Foggy,Grassland,Night
S0186,2025-05-09 12:01:00,Fox,Grazing,24.69008,78.41892,18.2,Foggy,Desert,Night
S0187,2025-05-23 18:54:00,Peacock,Grazing,24.66979,78.65804,32.4,Cloudy,Savanna,Morning
S0188,2025-05-18 10:41:00,Monkey,Running,24.59546,78.43372,24.6,Foggy,Savanna,Evening
S0189,2025-05-23 23:45:00,Leopard,Grazing,24.60394,78.67547,33.5,Cloudy,Grassland,Evening
S0190,2025-05-08 23:59:00,Rabbit,Alert,24.3541,78.35524,25.8,Cloudy,Wetland,Morning
S0191,2025-05-12 11:27:00,Wolf,Running,24.48919,78.56204,25.1,Windy,Wetland,Night
S0192,2025-05-04 16:42:00,Tiger,Resting,24.59045,78.68368,24.4,Cloudy,Grassland,Afternoon
S0193,2025-05-14 23:33:00,Leopard,Grazing,24.65778,78.69981,29.3,Sunny,Savanna,Evening
S0194,2025-05-30 05:47:00,Peacock,Playing,24.62405,78.53649,28.9,Foggy,Desert,Morning
S0195,2025-05-09 09:05:00,Deer,Grazing,24.39782,78.56733,21.0,Cloudy,Desert,Afternoon
S0196,2025-05-23 23:41:00,Peacock,Running,24.61757,78.63793,18.5,Foggy,Wetland,Afternoon
S0197,2025-05-29 23:40:00,Monkey,Hunting,24.6387,78.35558,18.9,Foggy,Savanna,Night
S0198,2025-05-15 19:08:00,Elephant,Grazing,24.45441,78.41586,27.3,Sunny,Desert,Morning
S0199,2025-05-24 22:24:00,Tiger,Running,24.65839,78.31181,26.9,Foggy,Desert,Afternoon
S0200,2025-05-14 02:01:00,Boar,Resting,24.61298,78.69438,30.3,Foggy,Savanna,Afternoon
S0201,2025-05-09 05:20:00,Peacock,Alert,24.59934,78.30683,21.3,Rainy,Desert,Evening
S0202,2025-05-10 10:05:00,Deer,Running,24.55999,78.66238,25.9,Sunny,Grassland,Afternoon
S0203,2025-05-04 12:24:00,Monkey,Resting,24.54131,78.37365,25.1,Cloudy,Desert,Evening
S0204,2025-05-06 01:08:00,Wolf,Alert,24.55082,78.32446,29.4,Sunny,Forest,Morning
S0205,2025-05-15 07:47:00,Fox,Resting,24.55882,78.69855,21.6,Windy,Savanna,Morning
S0206,2025-05-12 19:26:00,Tiger,Resting,24.32424,78.38911,28.8,Rainy,Forest,Morning
S0207,2025-05-25 04:12:00,Leopard,Running,24.67552,78.45698,34.4,Foggy,Wetland,Afternoon
S0208,2025-05-08 09:52:00,Tiger,Resting,24.59119,78.41658,29.9,Cloudy,Wetland,Night
S0209,2025-05-24 07:20:00,Fox,Grazing,24.57938,78.49642,28.3,Rainy,Grassland,Morning
S0210,2025-05-10 00:49:00,Boar,Socializing,24.42449,78.53455,27.6,Rainy,Forest,Afternoon
S0211,2025-05-21 20:06:00,Monkey,Running,24.58474,78.65509,30.8,Rainy,Savanna,Morning
S0212,2025-05-08 11:04:00,Leopard,Playing,24.50706,78.34275,27.1,Rainy,Desert,Afternoon
S0213,2025-05-21 21:10:00,Monkey,Grazing,24.53313,78.66314,18.0,Foggy,Wetland,Afternoon
S0214,2025-05-04 09:49:00,Tiger,Running,24.3304,78.48899,29.6,Cloudy,Desert,Night
S0215,2025-05-08 04:56:00,Elephant,Hunting,24.54826,78.6659,25.3,Cloudy,Desert,Afternoon
S0216,2025-05-24 22:59:00,Peacock,Alert,24.32127,78.40929,29.0,Foggy,Forest,Night
S0217,2025-05-14 23:51:00,Boar,Playing,24.3271,78.31644,19.5,Sunny,Forest,Afternoon
S0218,2025-05-23 23:30:00,Boar,Running,24.40014,78.34745,18.2,Foggy,Wetland,Evening
S0219,2025-05-09 13:44:00,Tiger,Running,24.36599,78.62727,22.1,Rainy,Savanna,Evening
S0220,2025-05-28 00:25:00,Rabbit,Grazing,24.48672,78.59397,23.5,Windy,Forest,Afternoon
S0221,2025-05-09 01:44:00,Tiger,Alert,24.5126,78.57895,22.5,Rainy,Wetland,Evening
S0222,2025-05-28 15:47:00,Monkey,Hunting,24.58225,78.31601,21.7,Cloudy,Wetland,Morning
S0223,2025-05-02 22:29:00,Fox,Resting,24.50251,78.38751,26.6,Windy,Savanna,Night
S0224,2025-05-28 06:05:00,Peacock,Resting,24.38024,78.42461,33.8,Cloudy,Wetland,Afternoon
S0225,2025-05-22 15:34:00,Fox,Grazing,24.67925,78.39604,21.9,Foggy,Savanna,Night
S0226,2025-05-28 01:01:00,Deer,Running,24.49049,78.41582,32.4,Cloudy,Savanna,Morning
S0227,2025-05-21 05:06:00,Fox,Alert,24.33348,78.39669,18.2,Cloudy,Desert,Afternoon
S0228,2025-05-20 21:54:00,Monkey,Playing,24.51179,78.41902,32.8,Foggy,Wetland,Evening
S0229,2025-05-24 11:58:00,Wolf,Playing,24.57396,78.50154,30.4,Rainy,Desert,Evening
S0230,2025-05-27 15:37:00,Tiger,Socializing,24.65178,78.31744,33.6,Foggy,Forest,Evening
S0231,2025-05-02 12:10:00,Peacock,Running,24.47823,78.43471,34.8,Sunny,Desert,Morning
S0232,2025-05-24 08:33:00,Tiger,Grazing,24.40328,78.59997,25.9,Cloudy,Desert,Evening
S0233,2025-05-22 09:53:00,Leopard,Resting,24.35676,78.56026,34.3,Foggy,Wetland,Night
S0234,2025-05-26 07:34:00,Rabbit,Playing,24.31613,78.54603,32.0,Cloudy,Forest,Evening
S0235,2025-05-09 03:31:00,Fox,Grazing,24.40833,78.48019,25.4,Windy,Savanna,Afternoon
S0236,2025-05-18 18:34:00,Rabbit,Resting,24.54008,78.6369,30.0,Rainy,Desert,Morning
S0237,2025-05-27 07:38:00,Boar,Playing,24.46755,78.61988,26.1,Windy,Savanna,Evening
S0238,2025-05-30 16:34:00,Leopard,Running,24.66363,78.37311,33.1,Rainy,Forest,Evening
S0239,2025-05-03 01:20:00,Leopard,Socializing,24.43128,78.38255,27.6,Windy,Savanna,Evening
S0240,2025-05-15 11:56:00,Rabbit,Running,24.48377,78.55818,18.4,Cloudy,Savanna,Evening
S0241,2025-05-23 12:44:00,Tiger,Grazing,24.53927,78.60505,20.2,Cloudy,Wetland,Evening
S0242,2025-05-26 02:09:00,Peacock,Resting,24.30559,78.42599,28.6,Foggy,Wetland,Evening
S0243,2025-05-16 13:13:00,Boar,Resting,24.55783,78.33394,23.0,Cloudy,Wetland,Afternoon
S0244,2025-05-28 10:28:00,Peacock,Hunting,24.38219,78.57596,25.9,Windy,Forest,Evening
S0245,2025-05-28 20:55:00,Tiger,Socializing,24.38905,78.64025,32.7,Windy,Desert,Afternoon
S0246,2025-05-16 01:09:00,Fox,Grazing,24.54043,78.69884,28.1,Foggy,Savanna,Night
S0247,2025-05-09 15:17:00,Fox,Resting,24.51856,78.50196,19.9,Rainy,Forest,Night
S0248,2025-05-02 12:03:00,Leopard,Socializing,24.45604,78.44189,30.7,Rainy,Grassland,Morning
S0249,2025-05-24 13:00:00,Wolf,Alert,24.51031,78.50136,31.9,Rainy,Savanna,Afternoon
S0250,2025-05-16 08:28:00,Rabbit,Grazing,24.48735,78.46458,23.0,Sunny,Grassland,Night
S0251,2025-05-12 10:07:00,Wolf,Hunting,24.32549,78.46815,22.7,Windy,Wetland,Morning
S0252,2025-05-21 03:48:00,Peacock,Grazing,24.49966,78.57151,20.2,Windy,Savanna,Night
S0253,2025-05-15 16:12:00,Fox,Alert,24.54905,78.30006,26.6,Sunny,Desert,Evening
S0254,2025-05-12 21:18:00,Tiger,Alert,24.34285,78.52132,33.4,Rainy,Forest,Morning
S0255,2025-05-04 16:13:00,Boar,Playing,24.66725,78.64867,18.8,Sunny,Grassland,Night
S0256,2025-05-23 02:48:00,Elephant,Hunting,24.39187,78.42074,30.1,Cloudy,Desert,Evening
